State (FIPS Code),County of current residence,Census Tract,Qualifying Name,FIPS,Civilian Population in Labor Force 16 Years and Over:,Civilian Population in Labor Force 16 Years and Over: Employed,Civilian Population in Labor Force 16 Years and Over: Unemployed,Population 25 Years and Over:,Population 25 Years and Over: Less than High School,Population 25 Years and Over: High School Graduate (Includes Equivalency),Population 25 Years and Over: Some College,Population 25 Years and Over: Bachelor's Degree,Population 25 Years and Over: Master's Degree,Population 25 Years and Over: Professional School Degree,Population 25 Years and Over: Doctorate Degree,Total Population,Total Population:,Total Population: White Alone,Total Population: Black or African American Alone,Total Population: American Indian and Alaska Native Alone,Total Population: Asian Alone,Total Population: Native Hawaiian and Other Pacific Islander Alone,Total Population: Some Other Race Alone,Total Population: Two or More Races,Total Population,Total Population: Not Hispanic or Latino,Total Population: Not Hispanic or Latino: White Alone,Total Population: Not Hispanic or Latino: Black or African American Alone,Total Population: Not Hispanic or Latino: American Indian and Alaska Native Alone,Total Population: Not Hispanic or Latino: Asian Alone,Total Population: Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone,Total Population: Not Hispanic or Latino: Some Other Race Alone,Total Population: Not Hispanic or Latino: Two or More Races,Total Population: Hispanic or Latino,Total Population: Hispanic or Latino: White Alone,Total Population: Hispanic or Latino: Black or African American Alone,Total Population: Hispanic or Latino: American Indian and Alaska Native Alone,Total Population: Hispanic or Latino: Asian Alone,Total Population: Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone,Total Population: Hispanic or Latino: Some Other Race Alone,Total Population: Hispanic or Latino: Two or More Races,Population Under 18 Years of Age for Whom Poverty Status Is Determined:,Population Under 18 Years of Age for Whom Poverty Status Is Determined: Living in Poverty,Population Under 18 Years of Age for Whom Poverty Status Is Determined: At or Above Poverty Level
Geo_STATE,Geo_COUNTY,Geo_TRACT,Geo_QName,Geo_FIPS,SE_A17005_001,SE_A17005_002,SE_A17005_003,SE_A12001_001,SE_A12001_002,SE_A12001_003,SE_A12001_004,SE_A12001_005,SE_A12001_006,SE_A12001_007,SE_A12001_008,SE_A00001_001,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,SE_A04001_001,SE_A04001_002,SE_A04001_003,SE_A04001_004,SE_A04001_005,SE_A04001_006,SE_A04001_007,SE_A04001_008,SE_A04001_009,SE_A04001_010,SE_A04001_011,SE_A04001_012,SE_A04001_013,SE_A04001_014,SE_A04001_015,SE_A04001_016,SE_A04001_017,SE_A13003A_001,SE_A13003A_002,SE_A13003A_003
09,001,200200,"Census Tract 2002, Fairfield County, Connecticut",09001200200,2756,2689,67,3752,463,820,884,998,463,72,52,5641,5641,3498,714,0,410,0,505,514,5641,5413,3479,714,0,410,0,372,438,228,19,0,0,0,0,133,76,1447,18,1429
09,001,200301,"Census Tract 2003.01, Fairfield County, Connecticut",09001200301,3076,2880,196,3526,135,743,822,959,758,97,12,5065,5065,3911,85,0,633,0,71,365,5065,4548,3625,85,0,633,0,0,205,517,286,0,0,0,0,71,160,1103,0,1103
09,001,200302,"Census Tract 2003.02, Fairfield County, Connecticut",09001200302,3043,2961,82,3681,97,964,886,1085,434,163,52,5589,5589,4946,237,10,99,0,41,256,5589,5407,4857,237,0,99,0,32,182,182,89,0,10,0,0,9,74,1321,11,1310
09,001,205100,"Census Tract 2051, Fairfield County, Connecticut",09001205100,2446,2371,75,3076,112,784,678,864,326,251,61,4360,4360,3790,48,0,169,28,80,245,4360,4104,3665,48,0,169,28,29,165,256,125,0,0,0,0,51,80,864,47,817
09,001,205200,"Census Tract 2052, Fairfield County, Connecticut",09001205200,3800,3649,151,4780,55,789,1162,1715,829,121,109,7063,7063,6711,1,0,134,0,79,138,7063,6626,6482,1,0,134,0,0,9,437,229,0,0,0,0,79,129,1780,31,1749
09,001,205300,"Census Tract 2053, Fairfield County, Connecticut",09001205300,3305,3195,110,4379,315,1130,862,1121,794,100,57,6005,6005,4563,491,0,425,0,121,405,6005,5573,4362,441,0,425,0,0,345,432,201,50,0,0,0,121,60,1204,122,1082
09,001,210101,"Census Tract 2101.01, Fairfield County, Connecticut",09001210101,1526,1471,55,1573,217,350,270,476,106,103,51,2347,2347,1143,456,0,134,0,491,123,2347,1561,996,340,0,134,0,0,91,786,147,116,0,0,0,491,32,431,126,305
09,001,210102,"Census Tract 2101.02, Fairfield County, Connecticut",09001210102,1693,1632,61,2424,681,1085,354,121,153,30,0,3306,3306,1333,345,15,302,0,1100,211,3306,1713,992,299,15,302,0,18,87,1593,341,46,0,0,0,1082,124,529,187,342
09,001,210201,"Census Tract 2102.01, Fairfield County, Connecticut",09001210201,2072,1870,202,2444,597,996,381,398,62,10,0,3008,3008,1451,335,54,25,0,436,707,3008,1701,1189,312,27,25,0,0,148,1307,262,23,27,0,0,436,559,508,17,491
09,001,210202,"Census Tract 2102.02, Fairfield County, Connecticut",09001210202,2077,1972,105,2192,704,812,467,124,59,0,26,3887,3887,1285,412,16,160,0,1518,496,3887,1374,745,322,0,160,0,86,61,2513,540,90,16,0,0,1432,435,982,214,768
09,001,210300,"Census Tract 2103, Fairfield County, Connecticut",09001210300,2939,2645,294,3629,769,997,881,659,306,8,9,5288,5288,2598,578,8,533,0,1126,445,5288,3485,1950,578,8,515,0,187,247,1803,648,0,0,18,0,939,198,1237,267,970
09,001,210401,"Census Tract 2104.01, Fairfield County, Connecticut",09001210401,3076,2796,280,3337,168,887,1320,648,219,95,0,4753,4753,2504,345,0,379,0,1186,339,4753,3686,2467,329,0,379,0,328,183,1067,37,16,0,0,0,858,156,861,0,861
09,001,210402,"Census Tract 2104.02, Fairfield County, Connecticut",09001210402,2358,2228,130,2562,403,569,464,635,447,13,31,4228,4228,2006,506,0,535,0,884,297,4228,3227,1852,436,0,535,0,210,194,1001,154,70,0,0,0,674,103,1053,89,964
09,001,210501,"Census Tract 2105.01, Fairfield County, Connecticut",09001210501,1725,1626,99,2260,288,467,623,488,301,28,65,3328,3328,2214,117,0,215,0,525,257,3328,2323,1953,117,0,215,0,0,38,1005,261,0,0,0,0,525,219,606,229,377
09,001,210502,"Census Tract 2105.02, Fairfield County, Connecticut",09001210502,3972,3840,132,4958,194,978,1171,1243,1007,319,46,6190,6190,4678,392,0,391,0,48,681,6190,5371,4308,392,0,391,0,0,280,819,370,0,0,0,0,48,401,814,0,814
09,001,210600,"Census Tract 2106, Fairfield County, Connecticut",09001210600,4015,3643,372,4463,1269,1146,960,661,325,43,59,6548,6548,3451,1126,78,283,0,1295,315,6548,4249,2913,738,78,283,0,97,140,2299,538,388,0,0,0,1198,175,1306,123,1183
09,001,210701,"Census Tract 2107.01, Fairfield County, Connecticut",09001210701,3125,2900,225,3873,1272,1111,963,465,29,22,11,6211,6211,2514,601,0,68,0,2481,547,6211,2681,1634,595,0,68,0,365,19,3530,880,6,0,0,0,2116,528,1708,695,1013
09,001,210702,"Census Tract 2107.02, Fairfield County, Connecticut",09001210702,2595,2431,164,2730,552,822,787,427,57,75,10,4278,4278,2234,342,0,330,0,909,463,4278,2603,1892,176,0,330,0,19,186,1675,342,166,0,0,0,890,277,1170,96,1074
09,001,210800,"Census Tract 2108, Fairfield County, Connecticut",09001210800,3637,3523,114,3805,437,865,827,1000,532,87,57,6082,6082,4327,779,6,198,0,473,299,6082,4855,3747,698,0,188,0,56,166,1227,580,81,6,10,0,417,133,980,96,884
09,001,210900,"Census Tract 2109, Fairfield County, Connecticut",09001210900,3187,3050,137,4005,242,706,617,1123,929,337,51,5508,5508,4458,118,0,347,20,254,311,5508,4866,4354,80,0,347,20,47,18,642,104,38,0,0,0,207,293,962,0,962
09,001,211000,"Census Tract 2110, Fairfield County, Connecticut",09001211000,2558,2408,150,3118,440,833,880,500,323,55,87,4400,4400,2724,211,0,366,0,772,327,4400,3127,2372,211,0,366,0,69,109,1273,352,0,0,0,0,703,218,834,53,781
09,001,211100,"Census Tract 2111, Fairfield County, Connecticut",09001211100,136,136,0,1161,254,456,278,87,66,8,12,1211,1211,763,342,31,17,0,51,7,1211,972,599,318,31,17,0,0,7,239,164,24,0,0,0,51,0,8,0,8
09,001,211201,"Census Tract 2112.01, Fairfield County, Connecticut",09001211201,2120,2028,92,2596,424,625,489,612,433,0,13,3828,3828,2114,267,0,655,0,706,86,3828,2565,1643,267,0,655,0,0,0,1263,471,0,0,0,0,706,86,899,331,568
09,001,211202,"Census Tract 2112.02, Fairfield County, Connecticut",09001211202,1772,1704,68,2242,136,643,609,500,330,0,24,3044,3044,1946,66,0,293,0,390,349,3044,2537,1924,45,0,293,0,108,167,507,22,21,0,0,0,282,182,448,0,448
09,001,211300,"Census Tract 2113, Fairfield County, Connecticut",09001211300,2318,2246,72,3004,318,637,859,530,427,185,48,3777,3777,2820,430,0,94,0,358,75,3777,3181,2737,325,0,94,0,0,25,596,83,105,0,0,0,358,50,555,15,540
09,001,211400,"Census Tract 2114, Fairfield County, Connecticut",09001211400,2995,2768,227,3850,389,803,924,823,765,92,54,4975,4975,3538,689,0,287,0,318,143,4975,4567,3434,689,0,287,0,48,109,408,104,0,0,0,0,270,34,740,202,538
09,001,220100,"Census Tract 2201, Fairfield County, Connecticut",09001220100,2498,2371,127,3325,194,762,851,950,469,47,52,5406,5406,4607,42,9,122,0,86,540,5406,5025,4451,42,9,122,0,0,401,381,156,0,0,0,0,86,139,1460,116,1344
09,001,220200,"Census Tract 2202, Fairfield County, Connecticut",09001220200,2467,2164,303,3039,57,795,759,867,447,50,64,4670,4670,4318,16,0,88,0,114,134,4670,4455,4183,16,0,88,0,78,90,215,135,0,0,0,0,36,44,1112,14,1098
09,001,220300,"Census Tract 2203, Fairfield County, Connecticut",09001220300,1827,1737,90,2374,125,712,508,548,384,69,28,3564,3564,3249,21,0,5,4,65,220,3564,3142,2971,3,0,5,4,50,109,422,278,18,0,0,0,15,111,736,0,736
09,001,230100,"Census Tract 2301, Fairfield County, Connecticut",09001230100,3839,3694,145,4940,205,1282,1163,1239,857,91,103,6965,6965,6107,20,22,269,0,72,475,6965,6527,6084,20,22,269,0,0,132,438,23,0,0,0,0,72,343,1493,11,1482
09,001,230200,"Census Tract 2302, Fairfield County, Connecticut",09001230200,1055,1006,49,1300,41,149,274,494,235,84,23,1879,1879,1752,12,0,47,0,10,58,1879,1794,1721,12,0,47,0,0,14,85,31,0,0,0,0,10,44,474,0,474
09,001,230300,"Census Tract 2303, Fairfield County, Connecticut",09001230300,1911,1838,73,2415,64,472,511,773,461,79,55,3292,3292,2884,0,0,44,0,98,266,3292,2898,2761,0,0,44,0,8,85,394,123,0,0,0,0,90,181,602,0,602
09,001,230400,"Census Tract 2304, Fairfield County, Connecticut",09001230400,3467,3277,190,4038,108,973,782,1264,594,180,137,5930,5930,5306,89,0,83,0,301,151,5930,5602,5189,89,0,83,0,107,134,328,117,0,0,0,0,194,17,1270,70,1200
09,001,230501,"Census Tract 2305.01, Fairfield County, Connecticut",09001230501,2355,2239,116,2925,114,495,527,1001,606,106,76,4237,4237,3853,87,0,130,0,45,122,4237,4130,3835,87,0,130,0,0,78,107,18,0,0,0,0,45,44,964,109,855
09,001,230502,"Census Tract 2305.02, Fairfield County, Connecticut",09001230502,2748,2585,163,3410,241,654,811,1006,558,110,30,5085,5085,4329,287,0,43,44,132,250,5085,4560,4089,266,0,43,44,26,92,525,240,21,0,0,0,106,158,1116,36,1080
09,001,240100,"Census Tract 2401, Fairfield County, Connecticut",09001240100,2190,2055,135,3179,78,405,439,1390,609,136,122,4391,4391,3704,16,22,183,0,129,337,4391,3982,3629,16,22,161,0,0,154,409,75,0,0,22,0,129,183,920,0,920
09,001,240200,"Census Tract 2402, Fairfield County, Connecticut",09001240200,2290,2205,85,3135,22,302,567,928,795,292,229,4440,4440,4055,0,0,116,0,27,242,4440,4222,3924,0,0,116,0,19,163,218,131,0,0,0,0,8,79,1014,80,934
09,001,245100,"Census Tract 2451, Fairfield County, Connecticut",09001245100,1661,1605,56,1944,34,143,330,696,529,135,77,2948,2948,2531,56,0,98,0,57,206,2948,2881,2513,56,0,98,0,33,181,67,18,0,0,0,0,24,25,812,5,807
09,001,245200,"Census Tract 2452, Fairfield County, Connecticut",09001245200,1978,1898,80,3059,62,311,641,965,877,158,45,4356,4356,3728,90,0,168,0,41,329,4356,4119,3538,90,0,168,0,41,282,237,190,0,0,0,0,0,47,1135,170,965
09,001,245300,"Census Tract 2453, Fairfield County, Connecticut",09001245300,2697,2547,150,3934,118,571,465,1484,910,238,148,5321,5321,5085,27,0,149,0,1,59,5321,4923,4733,27,0,149,0,0,14,398,352,0,0,0,0,1,45,1069,0,1069
09,001,245400,"Census Tract 2454, Fairfield County, Connecticut",09001245400,1419,1385,34,2048,6,181,341,792,428,206,94,2976,2976,2692,109,0,46,0,0,129,2976,2794,2639,109,0,46,0,0,0,182,53,0,0,0,0,0,129,790,0,790
09,001,245500,"Census Tract 2455, Fairfield County, Connecticut",09001245500,1578,1481,97,1981,30,75,292,972,334,142,136,2844,2844,2744,0,0,20,0,20,60,2844,2441,2391,0,0,20,0,0,30,403,353,0,0,0,0,20,30,781,0,781
09,001,245600,"Census Tract 2456, Fairfield County, Connecticut",09001245600,2956,2863,93,4190,72,235,717,1753,979,242,192,6608,6608,5922,97,17,345,0,70,157,6608,6605,5922,97,17,345,0,67,157,3,0,0,0,0,0,3,0,2125,12,2113
09,001,257100,"Census Tract 2571, Fairfield County, Connecticut",09001257100,2027,1950,77,2831,89,484,559,1048,476,75,100,3545,3545,3162,20,0,53,0,156,154,3545,3321,3031,20,0,53,0,156,61,224,131,0,0,0,0,0,93,551,0,551
09,001,257200,"Census Tract 2572, Fairfield County, Connecticut",09001257200,2512,2385,127,2875,664,779,852,439,92,24,25,4688,4688,1191,2001,3,40,0,749,704,4688,2989,791,1947,0,40,0,46,165,1699,400,54,3,0,0,703,539,1306,354,952
09,001,990000,"Census Tract 9900, Fairfield County, Connecticut",09001990000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
